0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5,5,1,1,1,3,3,3,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,16,1,1,0
0,5,5,5,27,3,3,3,3,16,1,1,2,1,16,2,1,1,16,2,1,2,2,1,1,2,2,1,2,2,2,1,16,1,1,1,1,1,1,1,16,1,1,1,16,2,2,1,1,0
1,5,5,5,27,3,3,16,1,1,1,1,1,1,2,2,1,1,16,1,2,2,1,1,2,1,2,1,1,16,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,0
0,5,5,5,27,3,2,1,1,2,1,1,1,1,1,1,1,16,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,16,1,1,2,1,2,1,2,1,1,2,0
1,5,5,5,27,1,1,2,2,1,2,1,16,1,1,1,2,1,2,1,2,1,1,1,16,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,16,1,2,1,16,16,2,2,19,0
0,5,5,5,27,1,1,1,2,1,16,2,1,1,1,16,1,1,1,16,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,19,19,0
1,5,5,5,27,1,1,1,1,2,2,1,1,1,1,2,16,1,2,2,1,1,2,1,16,1,2,2,2,2,1,16,1,2,1,1,1,2,1,1,16,2,1,16,2,16,2,19,1,0
0,27,26,1,1,16,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,16,2,2,1,2,1,16,1,1,1,1,16,1,1,2,2,1,1,2,16,2,1,19,19,1,0
0,1,16,2,16,1,1,1,1,2,2,16,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,16,1,2,2,2,2,1,1,1,1,1,2,2,1,16,16,2,1,19,2,2,0
0,2,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,16,1,1,16,1,1,1,1,1,1,1,16,16,2,1,1,1,1,19,19,2,2,0
0,1,1,1,1,1,16,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,19,19,19,1,2,1,0
0,2,1,1,2,1,16,1,1,1,16,1,16,1,1,2,2,1,1,16,16,1,1,1,1,16,16,2,1,2,1,1,1,2,16,16,2,1,1,1,2,2,19,19,1,1,1,1,1,0
0,2,16,16,2,1,2,2,1,1,1,2,1,2,1,2,16,1,1,2,1,1,1,1,1,16,2,1,2,1,1,1,1,16,1,1,2,16,1,1,19,19,19,1,1,2,1,1,1,0
0,1,1,1,2,2,1,2,2,1,2,16,16,1,1,16,1,1,1,1,16,1,1,1,2,2,1,1,2,1,2,2,1,1,1,16,1,1,1,19,19,19,16,1,1,16,2,1,1,0
0,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,16,1,2,1,2,2,16,2,1,1,16,1,1,1,2,1,1,2,1,2,1,2,19,19,1,2,16,2,2,1,1,2,1,0
0,2,16,1,1,2,2,1,1,16,2,1,1,1,2,2,1,1,2,1,2,16,1,1,1,16,2,1,16,2,1,1,16,16,1,1,1,19,19,1,1,2,2,1,1,1,1,1,2,0
